name	female	male	number_of_GFP_kernels	number_of_WT_kernels	year	cross_type	family	category	allele	FPKM	PCR_confirmed
Y2x25-3	2	25-3	155	146	2019	male	25	seedling_only	tdsgR63F09	38.2865666666667	TRUE
Y55-5x1	55-5	1	274	254	2019	female	55	vegetative_cell_high	tdsgR77F09	33.3009	TRUE
Y2x17-1	2	17-1	199	198	2019	male	17	vegetative_cell_high	tdsgR32B05	32.8555	TRUE
Y50G-6x1	50G-6	1	219	197	2019	female	50	sperm_cell_high	tdsgR106G12	126.303	TRUE
Y2x85-1	2	85-1	213	187	2019	male	85	vegetative_cell_high	tdsgR34C11	885.729	TRUE
Y2x73-5	2	73-5	33	57	2019	male	73	sperm_cell_high	tdsgR35A03	160.436	TRUE
Y54-6x1	54-6	1	143	181	2019	female	54	vegetative_cell_high	tdsgR33F03	304.574	TRUE
Y2x50G-4	2	50G-4	163	190	2019	male	50	sperm_cell_high	tdsgR106G12	126.303	TRUE
Y2x58-4m2	2	58-4m2	174	194	2019	male	58	vegetative_cell_high	tdsgR99B02	56.2152	TRUE
Y53-3x1	53-3	1	288	294	2019	female	53	seedling_only	tdsgR52B09	96.7292666666667	TRUE
Y2x36-1	2	36-1	229	209	2019	male	36	vegetative_cell_high	tdsgR92A10	132.288	TRUE
Y2x50G-3	2	50G-3	245	224	2019	male	50	sperm_cell_high	tdsgR106G12	126.303	TRUE
Y2x85-6	2	85-6	187	201	2019	male	85	vegetative_cell_high	tdsgR34C11	885.729	TRUE
Y2x73-2	2	73-2	195	204	2019	male	73	sperm_cell_high	tdsgR35A03	160.436	TRUE
Y88-3x1	88-3	1	164	195	2019	female	88	vegetative_cell_high	tdsgR107C12	885.729	TRUE
Y87-6x1	87-6	1	263	228	2019	female	87	sperm_cell_high	tdsgR84A12	392.156	TRUE
Y2x55-1	2	55-1	107	105	2019	male	55	vegetative_cell_high	tdsgR77F09	33.3009	TRUE
Y86-5x1	86-5	1	281	281	2019	female	86	vegetative_cell_high	tdsgR103E04	35.5349	TRUE
Y84-3x1	84-3	1	285	230	2019	female	84	seedling_only	tdsgR65E02	234.641	TRUE
Y26-1x1	26-1	1	178	186	2019	female	26	vegetative_cell_high	tdsgR01G01	176.627	TRUE
Y23-2x1	23-2	1	278	232	2019	female	23	vegetative_cell_high	tdsgR04A02	52.5708	TRUE
Y70-3x1	70-3	1	240	212	2019	female	70	vegetative_cell_high	tdsgR08A07	353.673	TRUE
Y2x46-3	2	46-3	179	192	2019	male	46	sperm_cell_high	tdsgR60D10	76.6179	TRUE
Y80-3x1	80-3	1	251	247	2019	female	80	vegetative_cell_high	tdsgR72D11	90.5725	TRUE
Y2x80-3	2	80-3	181	179	2019	male	80	vegetative_cell_high	tdsgR72D11	90.5725	TRUE
Y43-1x1	43-1	1	230	203	2019	female	43	seedling_only	tdsgR46C04	106.187666666667	TRUE
Y46-2x1	46-2	1	249	228	2019	female	46	sperm_cell_high	tdsgR60D10	76.6179	TRUE
Y2x41B-4	2	41B-4	135	153	2019	male	41	vegetative_cell_high	tdsgR98H09	369.498	TRUE
Y17-5x1	17-5	1	164	162	2019	female	17	vegetative_cell_high	tdsgR32B05	32.8555	TRUE
Y2x73G-2?	2	73G-2?	218	176	2019	male	73	sperm_cell_high	tdsgR35A03	160.436	TRUE
Y19-3x1	19-3	1	138	156	2019	female	19	sperm_cell_high	tdsgR82A03	392.156	TRUE
Y36-3x1	36-3	1	139	170	2019	female	36	vegetative_cell_high	tdsgR92A10	132.288	TRUE
Y2x71-4	2	71-4	155	126	2019	male	71	vegetative_cell_high	tdsgR81E02	4371.01	TRUE
Y38-5x1	38-5	1	180	169	2019	female	38	vegetative_cell_high	tdsgR04G10	60.916	TRUE
Y32-3x1	32-3	1	266	219	2019	female	32	vegetative_cell_high	tdsgR27E01	47.4902	TRUE
Y2x69-5	2	69-5	171	242	2019	male	69	vegetative_cell_high	tdsgR49F11	4175.48	TRUE
Y2x62-1	2	62-1	204	204	2019	male	62	vegetative_cell_high	tdsgR31H05	196.9	TRUE
Y66-7x1	66-7	1	234	250	2019	female	66	sperm_cell_high	tdsgR26G07	118.053	TRUE
Y35-6x1	35-6	1	207	213	2019	female	35	vegetative_cell_high	tdsgR81G05	64.6735	TRUE
Y73G-2?x1	73G-2?	1	168	174	2019	female	73	sperm_cell_high	tdsgR35A03	160.436	TRUE
Y68-1x1	68-1	1	293	258	2019	female	68	vegetative_cell_high	tdsgR83B04	90.3365	TRUE
Y34-5x1	34-5	1	272	265	2019	female	34	vegetative_cell_high	tdsgR101B03	4371.01	TRUE
Y2x43-1	2	43-1	208	171	2019	male	43	seedling_only	tdsgR46C04	106.187666666667	TRUE
Y2x53-2	2	53-2	201	212	2019	male	53	seedling_only	tdsgR52B09	96.7292666666667	TRUE
Y2x37-6	2	37-6	145	144	2019	male	37	seedling_only	tdsgR106F04	103.9473	TRUE
Y51-4x1	51-4	1	216	195	2019	female	51	vegetative_cell_high	tdsgR52E07	153.004	TRUE
Y55-4x1	55-4	1	244	262	2019	female	55	vegetative_cell_high	tdsgR77F09	33.3009	TRUE
Y2x24-3	2	24-3	163	216	2019	male	24	vegetative_cell_high	tdsgR102H01	2786.36	TRUE
Y2x84-1	2	84-1	111	80	2019	male	84	seedling_only	tdsgR65E02	234.641	TRUE
Y50G-7x1	50G-7	1	235	253	2019	female	50	sperm_cell_high	tdsgR106G12	126.303	TRUE
Y52-1x1	52-1	1	314	311	2019	female	52	vegetative_cell_high	tdsgR52E07	153.004	TRUE
Y2x24-4	2	24-4	127	323	2019	male	24	vegetative_cell_high	tdsgR102H01	2786.36	TRUE
Y2x82-11	2	82-11	232	228	2019	male	82	vegetative_cell_high	tdsgR35A08	162	TRUE
Y2x72-2	2	72-2	138	133	2019	male	72	vegetative_cell_high	tdsgR67C09	21028.2	TRUE
Y2x84-6	2	84-6	182	206	2019	male	84	seedling_only	tdsgR65E02	234.641	TRUE
Y82-8x1	82-8	1	186	155	2019	female	82	vegetative_cell_high	tdsgR35A08	162	TRUE
Y2x53-5	2	53-5	159	277	2019	male	53	seedling_only	tdsgR52B09	96.7292666666667	TRUE
Y2x37-1	2	37-1	133	151	2019	male	37	seedling_only	tdsgR106F04	103.9473	TRUE
Y59-4x1	59-4	1	186	209	2019	female	59	seedling_only	tdsgR12H07	37.5026	TRUE
Y53-2x1	53-2	1	194	178	2019	female	53	seedling_only	tdsgR52B09	96.7292666666667	TRUE
Y2x66-3	2	66-3	170	162	2019	male	66	sperm_cell_high	tdsgR26G07	118.053	TRUE
Y86-4x1	86-4	1	329	283	2019	female	86	vegetative_cell_high	tdsgR103E04	35.5349	TRUE
Y2x54-1	2	54-1	50	59	2019	male	54	vegetative_cell_high	tdsgR33F03	304.574	TRUE
Y25-5x1	25-5	1	317	275	2019	female	25	seedling_only	tdsgR63F09	38.2865666666667	TRUE
Y2x72-6m2	2	72-6m2	153	192	2019	male	72	vegetative_cell_high	tdsgR67C09	21028.2	TRUE
Y2x11-2	2	11-2	203	222	2019	male	11	sperm_cell_high	tdsgR91F11	220.451	TRUE
Y2x75-6	2	75-6	238	243	2019	male	75	vegetative_cell_high	tdsgR45E04	32.8555	TRUE
Y75-1x1	75-1	1	298	232	2019	female	75	vegetative_cell_high	tdsgR45E04	32.8555	TRUE
Y70-2x1	70-2	1	249	218	2019	female	70	vegetative_cell_high	tdsgR08A07	353.673	TRUE
Y2x11-5	2	11-5	271	248	2019	male	11	sperm_cell_high	tdsgR91F11	220.451	TRUE
Y23-3x1	23-3	1	244	221	2019	female	23	vegetative_cell_high	tdsgR04A02	52.5708	TRUE
Y80-2x1	80-2	1	322	302	2019	female	80	vegetative_cell_high	tdsgR72D11	90.5725	TRUE
Y85-1x1	85-1	1	305	205	2019	female	85	vegetative_cell_high	tdsgR34C11	885.729	TRUE
Y2x83-5	2	83-5	254	266	2019	male	83	vegetative_cell_high	tdsgR35A08	162	TRUE
Y2x88-1	2	88-1	223	196	2019	male	88	vegetative_cell_high	tdsgR107C12	885.729	TRUE
Y2x75-1	2	75-1	133	162	2019	male	75	vegetative_cell_high	tdsgR45E04	32.8555	TRUE
Y84-2x1	84-2	1	384	184	2019	female	84	seedling_only	tdsgR65E02	234.641	TRUE
Y2x54-6	2	54-6	181	245	2019	male	54	vegetative_cell_high	tdsgR33F03	304.574	TRUE
Y71-1x1	71-1	1	229	221	2019	female	71	vegetative_cell_high	tdsgR81E02	4371.01	TRUE
Y2x32-4	2	32-4	99	93	2019	male	32	vegetative_cell_high	tdsgR27E01	47.4902	TRUE
Y46-3x1	46-3	1	311	249	2019	female	46	sperm_cell_high	tdsgR60D10	76.6179	TRUE
Y66-10x1	66-10	1	206	211	2019	female	66	sperm_cell_high	tdsgR26G07	118.053	TRUE
Y2x45-5	2	45-5	217	218	2019	male	45	sperm_cell_high	tdsgR87A03	51.2846	TRUE
Y11-2x1	11-2	1	298	280	2019	female	11	sperm_cell_high	tdsgR91F11	220.451	TRUE
Y14-1x1	14-1	1	229	252	2019	female	14	vegetative_cell_high	tdsgR92F08	330.685	TRUE
Y2x25-5m3	2	25-5m3	182	182	2019	male	25	seedling_only	tdsgR63F09	38.2865666666667	TRUE
Y19-2x1	19-2	1	187	195	2019	female	19	sperm_cell_high	tdsgR82A03	392.156	TRUE
Y40-5x1	40-5	1	269	223	2019	female	40	sperm_cell_high	tdsgR31B01	46.2179	TRUE
Y2x45-2	2	45-2	258	231	2019	male	45	sperm_cell_high	tdsgR87A03	51.2846	TRUE
Y2x32-3	2	32-3	133	155	2019	male	32	vegetative_cell_high	tdsgR27E01	47.4902	TRUE
Y17-4x1	17-4	1	235	226	2019	female	17	vegetative_cell_high	tdsgR32B05	32.8555	TRUE
Y18-1x1	18-1	1	202	203	2019	female	18	vegetative_cell_high	tdsgR02D02	54.9727	TRUE
Y2x63-1	2	63-1	212	181	2019	male	63	sperm_cell_high	tdsgR53C03	48.0851	TRUE
Y37-1x1	37-1	1	259	267	2019	female	37	seedling_only	tdsgR106F04	103.9473	TRUE
Y32-2x1	32-2	1	221	244	2019	female	32	vegetative_cell_high	tdsgR27E01	47.4902	TRUE
Y2x51-3	2	51-3	155	154	2019	male	51	vegetative_cell_high	tdsgR52E07	153.004	TRUE
Y36-2x1	36-2	1	235	230	2019	female	36	vegetative_cell_high	tdsgR92A10	132.288	TRUE
Y33-1x1	33-1	1	349	290	2019	female	33	vegetative_cell_high	tdsgR27E01	47.4902	TRUE
Y2x26-2	2	26-2	166	161	2019	male	26	vegetative_cell_high	tdsgR01G01	176.627	TRUE
Y41B-6x1	41B-6	1	271	268	2019	female	41	vegetative_cell_high	tdsgR98H09	369.498	TRUE
Y2x70-3	2	70-3	279	200	2019	male	70	vegetative_cell_high	tdsgR08A07	353.673	TRUE
Y2x49-5	2	49-5	90	115	2019	male	49	vegetative_cell_high	tdsgR24D03	165.028	TRUE
Y2x26-5	2	26-5	232	186	2019	male	26	vegetative_cell_high	tdsgR01G01	176.627	TRUE
Y2x68-2	2	68-2	211	193	2019	male	68	vegetative_cell_high	tdsgR83B04	90.3365	TRUE
Y69-3x1	69-3	1	197	197	2019	female	69	vegetative_cell_high	tdsgR49F11	4175.48	TRUE
Y66-6x1	66-6	1	247	257	2019	female	66	sperm_cell_high	tdsgR26G07	118.053	TRUE
Y2x51-4	2	51-4	175	187	2019	male	51	vegetative_cell_high	tdsgR52E07	153.004	TRUE
Y63-5x1	63-5	1	197	190	2019	female	63	sperm_cell_high	tdsgR53C03	48.0851	TRUE
Y2x34-1	2	34-1	156	183	2019	male	34	vegetative_cell_high	tdsgR101B03	4371.01	TRUE
Y56-2x1	56-2	1	211	193	2019	female	56	vegetative_cell_high	tdsgR41F01	159.129	TRUE
Y53-1x1	53-1	1	311	277	2019	female	53	seedling_only	tdsgR52B09	96.7292666666667	TRUE
Y2x69-3	2	69-3	235	251	2019	male	69	vegetative_cell_high	tdsgR49F11	4175.48	TRUE
Y2x71-2	2	71-2	144	186	2019	male	71	vegetative_cell_high	tdsgR81E02	4371.01	TRUE
Y2x87-6	2	87-6	50	241	2019	male	87	sperm_cell_high	tdsgR84A12	392.156	TRUE
Y87-8x1	87-8	1	264	252	2019	female	87	sperm_cell_high	tdsgR84A12	392.156	TRUE
Y52-2x1	52-2	1	304	233	2019	female	52	vegetative_cell_high	tdsgR52E07	153.004	TRUE
Y58-4x1	58-4	1	286	274	2019	female	58	vegetative_cell_high	tdsgR99B02	56.2152	TRUE
Y2x71-5	2	71-5	123	137	2019	male	71	vegetative_cell_high	tdsgR81E02	4371.01	TRUE
Y50G-4x1	50G-4	1	202	227	2019	female	50	sperm_cell_high	tdsgR106G12	126.303	TRUE
Y2x87-1	2	87-1	106	267	2019	male	87	sperm_cell_high	tdsgR84A12	392.156	TRUE
Y2x34-6	2	34-6	171	183	2019	male	34	vegetative_cell_high	tdsgR101B03	4371.01	TRUE
Y54-4x1	54-4	1	230	227	2019	female	54	vegetative_cell_high	tdsgR33F03	304.574	TRUE
Y2x69-4	2	69-4	108	176	2019	male	69	vegetative_cell_high	tdsgR49F11	4175.48	TRUE
Y71-2x1	71-2	1	219	223	2019	female	71	vegetative_cell_high	tdsgR81E02	4371.01	TRUE
Y2x41B-5	2	41B-5	197	166	2019	male	41	vegetative_cell_high	tdsgR98H09	369.498	TRUE
Y84-1x1	84-1	1	216	239	2019	female	84	seedling_only	tdsgR65E02	234.641	TRUE
Y80-1x1	80-1	1	253	287	2019	female	80	vegetative_cell_high	tdsgR72D11	90.5725	TRUE
Y2x80-5	2	80-5	225	263	2019	male	80	vegetative_cell_high	tdsgR72D11	90.5725	TRUE
Y70-1x1	70-1	1	245	241	2019	female	70	vegetative_cell_high	tdsgR08A07	353.673	TRUE
Y75-2x1	75-2	1	246	245	2019	female	75	vegetative_cell_high	tdsgR45E04	32.8555	TRUE
Y2x19-1	2	19-1	99	218	2019	male	19	sperm_cell_high	tdsgR82A03	392.156	TRUE
Y26-3x1	26-3	1	160	177	2019	female	26	vegetative_cell_high	tdsgR01G01	176.627	TRUE
Y2x80-2	2	80-2	188	212	2019	male	80	vegetative_cell_high	tdsgR72D11	90.5725	TRUE
Y82-7x1	82-7	1	242	239	2019	female	82	vegetative_cell_high	tdsgR35A08	162	TRUE
Y87-4x1	87-4	1	316	243	2019	female	87	sperm_cell_high	tdsgR84A12	392.156	TRUE
Y88-1x1	88-1	1	209	228	2019	female	88	vegetative_cell_high	tdsgR107C12	885.729	TRUE
Y2x19-6	2	19-6	98	184	2019	male	19	sperm_cell_high	tdsgR82A03	392.156	TRUE
Y24-5x1	24-5	1	284	255	2019	female	24	vegetative_cell_high	tdsgR102H01	2786.36	TRUE
Y20-5x1	20-5	1	266	209	2019	female	20	vegetative_cell_high	tdsgR23D05	31.1667	TRUE
Y2x38-1	2	38-1	229	251	2019	male	38	vegetative_cell_high	tdsgR04G10	60.916	TRUE
Y25-6x1	25-6	1	274	254	2019	female	25	seedling_only	tdsgR63F09	38.2865666666667	TRUE
Y2x41B-2	2	41B-2	220	191	2019	male	41	vegetative_cell_high	tdsgR98H09	369.498	TRUE
Y2x87-8	2	87-8	102	181	2019	male	87	sperm_cell_high	tdsgR84A12	392.156	TRUE
Y73-4x1	73-4	1	231	227	2019	female	73	sperm_cell_high	tdsgR35A03	160.436	TRUE
Y18-2x1	18-2	1	269	257	2019	female	18	vegetative_cell_high	tdsgR02D02	54.9727	TRUE
Y2x86G-2	2	86G-2	162	119	2019	male	86	vegetative_cell_high	tdsgR103E04	35.5349	TRUE
Y19-1x1	19-1	1	99	160	2019	female	19	sperm_cell_high	tdsgR82A03	392.156	TRUE
Y45-5x1	45-5	1	269	217	2019	female	45	sperm_cell_high	tdsgR87A03	51.2846	TRUE
Y2x46-2	2	46-2	289	281	2019	male	46	sperm_cell_high	tdsgR60D10	76.6179	TRUE
Y14-2x1	14-2	1	210	215	2019	female	14	vegetative_cell_high	tdsgR92F08	330.685	TRUE
Y11-1x1	11-1	1	267	268	2019	female	11	sperm_cell_high	tdsgR91F11	220.451	TRUE
Y43-3x1	43-3	1	275	274	2019	female	43	seedling_only	tdsgR46C04	106.187666666667	TRUE
Y66-9x1	66-9	1	200	228	2019	female	66	sperm_cell_high	tdsgR26G07	118.053	TRUE
Y35-4x1	35-4	1	246	259	2019	female	35	vegetative_cell_high	tdsgR81G05	64.6735	TRUE
Y66-5x1	66-5	1	182	204	2019	female	66	sperm_cell_high	tdsgR26G07	118.053	TRUE
Y2x50G-2	2	50G-2	292	270	2019	male	50	sperm_cell_high	tdsgR106G12	126.303	TRUE
Y41B-5x1	41B-5	1	255	216	2019	female	41	vegetative_cell_high	tdsgR98H09	369.498	TRUE
Y2x73-3	2	73-3	283	217	2019	male	73	sperm_cell_high	tdsgR35A03	160.436	TRUE
Y68-3x1	68-3	1	223	247	2019	female	68	vegetative_cell_high	tdsgR83B04	90.3365	TRUE
Y2x25-2	2	25-2	293	295	2019	male	25	seedling_only	tdsgR63F09	38.2865666666667	TRUE
Y2x73-4	2	73-4	287	284	2019	male	73	sperm_cell_high	tdsgR35A03	160.436	TRUE
Y39-4x1	39-4	1	239	229	2019	female	39	vegetative_cell_high	tdsgR88B08	720.42	TRUE
Y36-1x1	36-1	1	293	261	2019	female	36	vegetative_cell_high	tdsgR92A10	132.288	TRUE
Y64-3x1	64-3	1	253	241	2019	female	64	sperm_cell_high	tdsgR53C03	48.0851	TRUE
Y32-1x1	32-1	1	202	202	2019	female	32	vegetative_cell_high	tdsgR27E01	47.4902	TRUE
Y2x52-3	2	52-3	270	253	2019	male	52	vegetative_cell_high	tdsgR52E07	153.004	TRUE
Y2x50G-5	2	50G-5	162	161	2019	male	50	sperm_cell_high	tdsgR106G12	126.303	TRUE
Y2x70-2	2	70-2	172	174	2019	male	70	vegetative_cell_high	tdsgR08A07	353.673	TRUE
Y2x49-4	2	49-4	179	152	2019	male	49	vegetative_cell_high	tdsgR24D03	165.028	TRUE
Y2x26-4	2	26-4	223	181	2019	male	26	vegetative_cell_high	tdsgR01G01	176.627	TRUE
Y2x14-6	2	14-6	135	168	2019	male	14	vegetative_cell_high	tdsgR92F08	330.685	TRUE
Y56-3x1	56-3	1	254	264	2019	female	56	vegetative_cell_high	tdsgR41F01	159.129	TRUE
Y2x35-1	2	35-1	216	255	2019	male	35	vegetative_cell_high	tdsgR81G05	64.6735	TRUE
Y2x63-7	2	63-7	204	191	2019	male	63	sperm_cell_high	tdsgR53C03	48.0851	TRUE
Y2x68-3	2	68-3	265	281	2019	male	68	vegetative_cell_high	tdsgR83B04	90.3365	TRUE
Y54-5x1	54-5	1	113	124	2019	female	54	vegetative_cell_high	tdsgR33F03	304.574	TRUE
Y51-6x1	51-6	1	230	251	2019	female	51	vegetative_cell_high	tdsgR52E07	153.004	TRUE
Y2x35-6	2	35-6	150	151	2019	male	35	vegetative_cell_high	tdsgR81G05	64.6735	TRUE
Y2x51-2	2	51-2	63	76	2019	male	51	vegetative_cell_high	tdsgR52E07	153.004	TRUE
Y2x86-1	2	86-1	278	284	2019	male	86	vegetative_cell_high	tdsgR103E04	35.5349	TRUE
Y50G-5x1	50G-5	1	268	225	2019	female	50	sperm_cell_high	tdsgR106G12	126.303	TRUE
Y2x70-5	2	70-5	134	151	2019	male	70	vegetative_cell_high	tdsgR08A07	353.673	TRUE
Y2x49-3	2	49-3	82	96	2019	male	49	vegetative_cell_high	tdsgR24D03	165.028	TRUE
Y2x26-3	2	26-3	229	289	2019	male	26	vegetative_cell_high	tdsgR01G01	176.627	TRUE
Y2x14-1	2	14-1	171	199	2019	male	14	vegetative_cell_high	tdsgR92F08	330.685	TRUE
Y2x45-3	2	45-3	114	126	2019	male	45	sperm_cell_high	tdsgR87A03	51.2846	TRUE
Y23-1x1	23-1	1	305	242	2019	female	23	vegetative_cell_high	tdsgR04A02	52.5708	TRUE
Y26-2x1	26-2	1	261	256	2019	female	26	vegetative_cell_high	tdsgR01G01	176.627	TRUE
Y2x18-1	2	18-1	139	140	2019	male	18	vegetative_cell_high	tdsgR02D02	54.9727	TRUE
Y2x32-2	2	32-2	159	152	2019	male	32	vegetative_cell_high	tdsgR27E01	47.4902	TRUE
Y2x64-4	2	64-4	154	114	2019	male	64	sperm_cell_high	tdsgR53C03	48.0851	TRUE
Y73-5x1	73-5	1	251	173	2019	female	73	sperm_cell_high	tdsgR35A03	160.436	TRUE
Y2x32-5	2	32-5	131	162	2019	male	32	vegetative_cell_high	tdsgR27E01	47.4902	TRUE
Y2x39-1	2	39-1	210	238	2019	male	39	vegetative_cell_high	tdsgR88B08	720.42	TRUE
Y20-4x1	20-4	1	201	235	2019	female	20	vegetative_cell_high	tdsgR23D05	31.1667	TRUE
Y2x56-1	2	56-1	228	259	2019	male	56	vegetative_cell_high	tdsgR41F01	159.129	TRUE
Y83-5x1	83-5	1	278	226	2019	female	83	vegetative_cell_high	tdsgR35A08	162	TRUE
Y2x64-3	2	64-3	140	194	2019	male	64	sperm_cell_high	tdsgR53C03	48.0851	TRUE
Y87-5x1	87-5	1	287	189	2019	female	87	sperm_cell_high	tdsgR84A12	392.156	TRUE
Y2x45-4	2	45-4	111	122	2019	male	45	sperm_cell_high	tdsgR87A03	51.2846	TRUE
Y72-6x1	72-6	1	197	199	2019	female	72	vegetative_cell_high	tdsgR67C09	21028.2	TRUE
Y24-4x1	24-4	1	160	203	2019	female	24	vegetative_cell_high	tdsgR102H01	2786.36	TRUE
Y2x25-5m2	2	25-5m2	283	307	2019	male	25	seedling_only	tdsgR63F09	38.2865666666667	TRUE
Y2x11-4	2	11-4	174	148	2019	male	11	sperm_cell_high	tdsgR91F11	220.451	TRUE
Y45-4x1	45-4	1	310	210	2019	female	45	sperm_cell_high	tdsgR87A03	51.2846	TRUE
Y2x66-5	2	66-5	196	194	2019	male	66	sperm_cell_high	tdsgR26G07	118.053	TRUE
Y18-3x1	18-3	1	280	252	2019	female	18	vegetative_cell_high	tdsgR02D02	54.9727	TRUE
Y2x66-2	2	66-2	196	194	2019	male	66	sperm_cell_high	tdsgR26G07	118.053	TRUE
Y46-1x1	46-1	1	212	202	2019	female	46	sperm_cell_high	tdsgR60D10	76.6179	TRUE
Y49-4x1	49-4	1	277	212	2019	female	49	vegetative_cell_high	tdsgR24D03	165.028	TRUE
Y2x23-1	2	23-1	240	234	2019	male	23	vegetative_cell_high	tdsgR04A02	52.5708	TRUE
Y2x20-6?	2	20-6?	233	228	2019	male	20	vegetative_cell_high	tdsgR23D05	31.1667	TRUE
Y2x24-5	2	24-5	179	303	2019	male	24	vegetative_cell_high	tdsgR102H01	2786.36	TRUE
