allele	raw_p	adjusted_p	group	percent_transmission	glm_adj_p_sig	FPKM	PCR_confirmed
tdsgR01G01	0.522511955996582	0.752417216635078	mp	0.492617764237169	0	176.627	TRUE
tdsgR02A05	0.0708277965178343	0.283311186071337	mp	0.477266387726639	0	24.0476	FALSE
tdsgR02D02	0.793764518984163	0.890413450318282	mp	0.496628554676048	0	54.9727	TRUE
tdsgR04A02	1.01558423410975e-05	0.000176040491424168	mp	0.445741576014858	1	52.5708	TRUE
tdsgR04G10	0.671959157978254	0.890413450318282	mp	0.495037521181312	0	60.916	TRUE
tdsgR08A07	0.429203168111799	0.752417216635078	mp	0.510429447852761	0	353.673	TRUE
tdsgR101B03	0.370912625794913	0.702781817295625	mp	0.489676208352886	0	4371.01	TRUE
tdsgR102H01	2.89566876425784e-05	0.000260610188783206	mp	0.443070917371503	1	2786.36	TRUE
tdsgR103E04	0.0139588920450333	0.0717885876601713	mp	0.527128458074201	0	35.5349	TRUE
tdsgR107C12	0.491723570898517	0.752417216635078	mp	0.492549668874172	0	885.729	TRUE
tdsgR108A02	0.0539304644153693	0.242687089869162	mp	0.470491126702435	0	126.313	FALSE
tdsgR23D05	0.659372673846835	0.890413450318282	mp	0.495101241018942	0	31.1667	TRUE
tdsgR24D03	0.342959351037933	0.702781817295625	mp	0.512296296296296	0	165.028	TRUE
tdsgR27E01	0.461012363947042	0.752417216635078	mp	0.491552881277482	0	47.4902	TRUE
tdsgR31H05	0.848389508786483	0.890413450318282	mp	0.502764467379285	0	196.9	TRUE
tdsgR32B05	0.865679743364996	0.890413450318282	mp	0.497502881290818	0	32.8555	TRUE
tdsgR33F03	1.4670040952014e-05	0.000176040491424168	mp	0.448472808542339	1	304.574	TRUE
tdsgR34C11	0.950993106734925	0.950993106734925	mp	0.500714285714286	0	885.729	TRUE
tdsgR35A08	0.358472471033128	0.702781817295625	mp	0.489001264222503	0	162	TRUE
tdsgR41F01	0.310754238984868	0.702781817295625	mp	0.487854251012146	0	159.129	TRUE
tdsgR45E04	0.832557474286053	0.890413450318282	mp	0.497330710873841	0	32.8555	TRUE
tdsgR49F11	1.51637097767221e-07	5.45893551961996e-06	mp	0.438838648262732	1	4175.48	TRUE
tdsgR52E07	0.12691195174879	0.380735855246371	mp	0.482369534555712	0	153.004	TRUE
tdsgR67C09	0.0006799673962119	0.00489576525272568	mp	0.457650273224044	1	21028.2	TRUE
tdsgR67H12	0.350713323105263	0.702781817295625	mp	0.487329434697856	0	58.0787	FALSE
tdsgR72D11	0.443610065924125	0.752417216635078	mp	0.491120056831636	0	90.5725	TRUE
tdsgR77F09	0.200417376916319	0.515358969213391	mp	0.48396017699115	0	33.3009	TRUE
tdsgR81E02	0.104063109355109	0.374627193678393	mp	0.48171275646744	0	4371.01	TRUE
tdsgR81G05	0.7006209342462	0.890413450318282	mp	0.50453320264641	0	64.6735	TRUE
tdsgR83B04	0.855740368176037	0.890413450318282	mp	0.496875	0	90.3365	TRUE
tdsgR85A08	0.802057941698833	0.890413450318282	mp	0.503241013553329	0	242.762	FALSE
tdsgR88B08	0.841095412140435	0.890413450318282	mp	0.497466216216216	0	720.42	TRUE
tdsgR92A10	0.116735056435441	0.380735855246371	mp	0.518375241779497	0	132.288	TRUE
tdsgR92F08	0.00144774511830814	0.00868647070984885	mp	0.455270457697642	1	330.685	TRUE
tdsgR98H09	0.508844041743891	0.752417216635078	mp	0.492496589358799	0	369.498	TRUE
tdsgR99B02	0.189132348610757	0.515358969213391	mp	0.482831325301205	0	56.2152	TRUE
tdsgR06C04	0.357894627669034	0.715789255338069	sc	0.487556221889055	0	849.346	FALSE
tdsgR106G12	0.673532373020487	0.857223020207893	sc	0.504782146652497	0	126.303	TRUE
tdsgR26G07	0.855511113740246	0.962003385383862	sc	0.502233250620347	0	118.053	TRUE
tdsgR29A11	0.537379330193559	0.796388641197875	sc	0.491297208538588	0	25.5451	FALSE
tdsgR31B01	0.298654754189253	0.696861093108258	sc	0.484942886812046	0	46.2179	TRUE
tdsgR35A03	0.0976631860584618	0.341821151204616	sc	0.518383099735933	0	160.436	TRUE
tdsgR53C03	0.497001365812332	0.796388641197875	sc	0.507768666378938	0	48.0851	TRUE
tdsgR60D10	0.258334540641885	0.696861093108258	sc	0.513590844062947	0	76.6179	TRUE
tdsgR82A03	0	0	sc	0.331794398276393	1	392.156	TRUE
tdsgR83A02	0.568849029427054	0.796388641197875	sc	0.492128463476071	0	508.239	TRUE
tdsgR84A12	0	0	sc	0.249535143175902	1	392.156	TRUE
tdsgR87A03	0.962003385383862	0.962003385383862	sc	0.499449702839533	0	51.2846	TRUE
tdsgR89B08	0	0	sc	0.372133526850508	1	43.9868	FALSE
tdsgR91F11	0.958966818723121	0.962003385383862	sc	0.499358151476252	0	220.451	TRUE
tdsgR106E07	0.231042044052227	0.58904258204353	seedling	0.486409155937053	0	35.1108	TRUE
tdsgR106F04	0.562785437559816	0.703481796949771	seedling	0.493251533742331	0	103.9473	TRUE
tdsgR12H07	0.324642518078669	0.58904258204353	seedling	0.487159831353009	0	37.5026	TRUE
tdsgR44E07	0.100699262231958	0.503496311159792	seedling	0.478658536585366	0	116.5753333	TRUE
tdsgR46C04	0.281504093531844	0.58904258204353	seedling	0.511058263971463	0	106.187666666667	TRUE
tdsgR52B09	0.353425549226118	0.58904258204353	seedling	0.489245683126325	0	96.7292666666667	TRUE
tdsgR63F09	0.909580840606731	0.909580840606731	seedling	0.498960498960499	0	38.2865666666667	TRUE
tdsgR65A10	0.0258426721750393	0.258426721750393	seedling	0.522595596755504	0	695.5563333	TRUE
tdsgR65E02	0.858506594747609	0.909580840606731	seedling	0.497987349051179	0	234.641	TRUE
tdsgR91G06	0.480094718509922	0.685849597871317	seedling	0.508038585209003	0	53.8378	TRUE
tdsgR01G01	0.393652266851317	0.820428642853032	females	0.488690884167238	0	176.627	TRUE
tdsgR02A05	0.950193218169517	0.966298187969	females	0.499001996007984	0	24.0476	FALSE
tdsgR02D02	0.361344833253636	0.820428642853032	females	0.51168	0	54.9727	TRUE
tdsgR04A02	0.0170008650344728	0.153188888970198	females	0.541135573580533	0	52.5708	TRUE
tdsgR04G10	0.0178720370465231	0.153188888970198	females	0.539116551357105	0	60.916	TRUE
tdsgR06C04	0.0079631551728867	0.0955578620746405	females	0.535905680600214	0	849.346	FALSE
tdsgR08A07	0.164859080295289	0.670418237803222	females	0.520787746170678	0	353.673	TRUE
tdsgR101B03	0.780872808367068	0.909737427066914	females	0.496041171813143	0	4371.01	TRUE
tdsgR102H01	0.847526699920359	0.922072034219235	females	0.497635933806147	0	2786.36	TRUE
tdsgR103E04	0.000594069907266404	0.0118813981453281	females	0.541279233586926	1	35.5349	TRUE
tdsgR106E07	0.555195597406856	0.870786431352179	females	0.506849315068493	0	35.1108	TRUE
tdsgR106F04	0.688257750194911	0.891422286878974	females	0.494320407363886	0	103.9473	TRUE
tdsgR106G12	0.870401648808101	0.922072034219235	females	0.498184458968773	0	126.303	TRUE
tdsgR107C12	0.788439103457993	0.909737427066914	females	0.503508185766789	0	885.729	TRUE
tdsgR108A02	0.828562410091997	0.922072034219235	females	0.49563838223632	0	126.313	FALSE
tdsgR12H07	0.608727118090202	0.871827249506092	females	0.490424076607387	0	37.5026	TRUE
tdsgR23D05	0.391875885970596	0.820428642853032	females	0.514428412874584	0	31.1667	TRUE
tdsgR24D03	0.0353714539617769	0.265285904713327	females	0.529256323140808	0	165.028	TRUE
tdsgR26G07	0.900026165540517	0.931061550559155	females	0.498757882667686	0	118.053	TRUE
tdsgR27E01	0.167604559450806	0.670418237803222	females	0.517719072164949	0	47.4902	TRUE
tdsgR29A11	0.300163849305777	0.820428642853032	females	0.484304932735426	0	25.5451	FALSE
tdsgR31B01	0.256564983871818	0.820428642853032	females	0.515683345780433	0	46.2179	TRUE
tdsgR31H05	0.229992583582872	0.811738530292489	females	0.519407558733401	0	196.9	TRUE
tdsgR32B05	0.69828079138853	0.891422286878974	females	0.505301645338208	0	32.8555	TRUE
tdsgR33F03	0.431686387099538	0.820428642853032	females	0.489276626681207	0	304.574	TRUE
tdsgR34C11	2.5993388552692e-07	1.55960331316152e-05	females	0.575342465753425	1	885.729	TRUE
tdsgR35A03	0.507289287503505	0.869638778577437	females	0.50762470922719	0	160.436	TRUE
tdsgR35A08	0.983423016384595	0.983423016384595	females	0.499779151943463	0	162	TRUE
tdsgR41F01	0.566011180378916	0.870786431352179	females	0.507660167130919	0	159.129	TRUE
tdsgR44E07	0.652491658626696	0.871827249506092	females	0.505459770114942	0	116.5753333	TRUE
tdsgR45E04	0.419974070532358	0.820428642853032	females	0.5097869890616	0	32.8555	TRUE
tdsgR46C04	0.411433123914949	0.820428642853032	females	0.511135057471264	0	106.187666666667	TRUE
tdsgR49F11	0.618275555335726	0.871827249506092	females	0.505908216543006	0	4175.48	TRUE
tdsgR52B09	0.397725065305977	0.820428642853032	females	0.511088709677419	0	96.7292666666667	TRUE
tdsgR52E07	0.353301541590192	0.820428642853032	females	0.510621960583568	0	153.004	TRUE
tdsgR53C03	0.105099037394476	0.525495186972381	females	0.518288131375964	0	48.0851	TRUE
tdsgR60D10	0.0884528642331732	0.495717424807036	females	0.525401650021711	0	76.6179	TRUE
tdsgR63F09	0.391262836582619	0.820428642853032	females	0.510900473933649	0	38.2865666666667	TRUE
tdsgR65A10	0.362162449747661	0.820428642853032	females	0.510893854748603	0	695.5563333	TRUE
tdsgR65E02	0.00236275512894824	0.0354413269342235	females	0.538365952159056	1	234.641	TRUE
tdsgR67C09	0.432677730754394	0.820428642853032	females	0.510861423220974	0	21028.2	TRUE
tdsgR67H12	0.653870437129569	0.871827249506092	females	0.505714285714286	0	58.0787	FALSE
tdsgR72D11	0.55577975873111	0.870786431352179	females	0.492601726263872	0	90.5725	TRUE
tdsgR77F09	0.159150229542846	0.670418237803222	females	0.523600439077936	0	33.3009	TRUE
tdsgR81E02	0.451071541036841	0.820428642853032	females	0.490919409761635	0	4371.01	TRUE
tdsgR81G05	0.412103786735794	0.820428642853032	females	0.488896848137536	0	64.6735	TRUE
tdsgR82A03	0.09088152788129	0.495717424807036	females	0.478945774007876	0	392.156	TRUE
tdsgR83A02	0.7376918772282	0.903296176197796	females	0.495409474843922	0	508.239	TRUE
tdsgR83B04	0.859253410778756	0.922072034219235	females	0.502680965147453	0	90.3365	TRUE
tdsgR84A12	0.000585368837749289	0.0118813981453281	females	0.534318491153024	1	392.156	TRUE
tdsgR85A08	0.649711393697042	0.871827249506092	females	0.493404781533388	0	242.762	FALSE
tdsgR87A03	0.451235753569168	0.820428642853032	females	0.509843176509843	0	51.2846	TRUE
tdsgR88B08	0.875968432508273	0.922072034219235	females	0.502492522432702	0	720.42	TRUE
tdsgR89B08	0.565740500384653	0.870786431352179	females	0.507670850767085	0	43.9868	FALSE
tdsgR91F11	0.729871490725347	0.903296176197796	females	0.504206556425878	0	220.451	TRUE
tdsgR91G06	0.788097533634077	0.909737427066914	females	0.503359804520464	0	53.8378	TRUE
tdsgR92A10	0.645641340335113	0.871827249506092	females	0.506978838361099	0	132.288	TRUE
tdsgR92F08	0.19574313969091	0.734036773840912	females	0.481376518218623	0	330.685	TRUE
tdsgR98H09	0.0479077110312305	0.319384740208203	females	0.527640106747998	0	369.498	TRUE
tdsgR99B02	0.483083288423283	0.852499920746971	females	0.509151414309484	0	56.2152	TRUE
